16:25:39.933 [http-nio-8080-exec-1] INFO  c.e.y.a.appservice.LoginAppService - 用户：13506976031,登录成功
16:25:40.126 [http-nio-8080-exec-3] INFO  c.ep.yunq.controller.MenuController - ---------------- 获取用户菜单 ----------------------
16:25:40.293 [http-nio-8080-exec-2] INFO  c.ep.yunq.controller.MenuController - ---------------- 获取用户菜单 ----------------------
16:25:44.070 [http-nio-8080-exec-4] INFO  c.ep.yunq.controller.MenuController - ---------------- 获取用户菜单 ----------------------
16:25:44.628 [http-nio-8080-exec-5] INFO  c.e.yunq.controller.ParamsController - ---------------- 获取所有系统参数 ----------------------
16:25:48.051 [http-nio-8080-exec-6] INFO  c.ep.yunq.controller.MenuController - ---------------- 获取用户菜单 ----------------------
16:25:48.914 [http-nio-8080-exec-8] INFO  com.ep.yunq.controller.DicControllor - ---------------- 获取所有字典类型 ----------------------
16:25:49.174 [http-nio-8080-exec-7] INFO  c.ep.yunq.controller.MenuController - ---------------- 获取用户菜单 ----------------------
16:25:49.430 [http-nio-8080-exec-9] INFO  c.e.yunq.controller.ParamsController - ---------------- 获取所有系统参数 ----------------------
16:25:54.813 [http-nio-8080-exec-10] INFO  c.ep.yunq.controller.MenuController - ---------------- 获取用户菜单 ----------------------
16:25:55.059 [http-nio-8080-exec-1] INFO  com.ep.yunq.controller.DicControllor - ---------------- 获取所有字典类型 ----------------------
16:25:56.431 [http-nio-8080-exec-3] INFO  com.ep.yunq.controller.DicControllor - ---------------- 获取所有字典明细 ----------------------
16:25:57.804 [http-nio-8080-exec-2] INFO  com.ep.yunq.controller.DicControllor - ---------------- 获取所有字典明细 ----------------------
16:25:58.991 [http-nio-8080-exec-4] INFO  com.ep.yunq.controller.DicControllor - ---------------- 获取所有字典明细 ----------------------
16:26:02.585 [http-nio-8080-exec-5] INFO  com.ep.yunq.controller.DicControllor - ---------------- 获取所有字典明细 ----------------------
16:26:02.848 [http-nio-8080-exec-6] INFO  com.ep.yunq.controller.DicControllor - ---------------- 获取所有字典明细 ----------------------
